Sound,Color,Spatiality,Composition,Shape,Material
00,0.3325,0.7085,0.5005000000000001,0.5715,0.5075
01,0.376,0.264,0.305,0.808,0.286
02,0.8315,0.6565000000000001,0.375,0.817,0.267
03,0.1515,0.3155,0.23500000000000001,0.14600000000000002,0.4385
04,0.369,0.7759999999999999,0.598,0.7296666666666667,0.5466666666666667
05,0.6166666666666667,0.7523333333333334,0.455,0.553,0.7623333333333333
06,0.5303333333333333,0.48,0.327,0.138,0.6506666666666666
07,0.22399999999999998,0.37366666666666665,0.7053333333333333,0.7656666666666666,0.6096666666666667
08,0.5893333333333333,0.6,0.13466666666666666,0.5453333333333333,0.4036666666666667
09,0.505,0.24375,0.2555,0.62625,0.7755
10,0.36133333333333334,0.702,0.3263333333333333,0.4543333333333333,0.654
11,0.5616666666666666,0.463,0.32966666666666666,0.48933333333333334,0.47633333333333333
12,0.674,0.8415,0.637,0.4425,0.628
13,0.3615,0.8374999999999999,0.0,0.46249999999999997,0.484
14,0.5045,0.673,0.5295,0.6094999999999999,0.229
15,0.8055,0.455,0.5745,0.5145,0.78
16,0.2975,0.5315,0.6435,0.438,0.2185
17,0.455,0.9715,0.1195,0.194,0.624
18,0.5535,0.8614999999999999,0.622,0.9255,0.843
19,0.1055,0.267,0.05,0.5,0.201
20,0.636,0.183,0.192,0.311,0.083
21,0.0,0.499,0.265,0.5,0.74
22,0.318,0.5605,0.455,0.5315,0.754
23,0.45,0.536,0.48450000000000004,0.8315,0.499
24,0.8005,0.514,0.2395,0.63,0.5395
25,0.125,0.531,0.008,0.527,0.7404999999999999
26,0.18,0.67,0.67,0.063,0.377
27,0.581,0.173,0.07,0.39,0.303
30,0.393,0.332,0.449,0.385,0.299
31,0.689,0.416,0.304,0.667,0.781
32,0.3905,0.8175,0.187,0.6145,0.6625000000000001
33,0.6155,0.361,0.6185,0.648,0.6725
34,0.3335,0.4515,0.6125,0.6915,0.7235
35,0.792,0.502,0.46950000000000003,0.5505,0.275
36,0.441,0.494,0.859,0.562,0.44
37,0.32899999999999996,0.5155000000000001,0.158,0.3925,0.36
38,0.739,0.606,0.052,1.0,0.627
39,0.436,0.38,0.837,0.374,0.197
40,0.7775,0.643,0.27749999999999997,0.3435,0.648
41,0.638,0.2855,0.355,0.8895,0.351
42,0.661,0.8685,0.128,0.714,0.53
43,0.49749999999999994,0.3645,0.8009999999999999,0.6895,0.1865
44,0.782,0.68,0.217,0.544,0.45999999999999996
45,0.335,0.204,0.616,0.36750000000000005,0.243
46,0.516,0.685,0.546,0.45199999999999996,0.5800000000000001
47,0.5705,0.8385,0.7585,0.3545,0.6425000000000001
48,0.434,0.52,0.6635,0.41050000000000003,0.487
49,0.5715,0.706,0.2615,0.535,0.6985
